Airport.Code,Airport.Name,Time.Month,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
BOS,"Boston, MA: Logan International",12,2003,435,655,1065,60,820,6539,9604,25524,42351,50518,123583,4979
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",12,2003,397,638,568,40,125,6756,8548,17880,35518,20641,77398,3071
CLT,"Charlotte, NC: Charlotte Douglas International",12,2003,317,523,540,25,134,7468,9010,13285,26385,16119,57167,1167
DCA,"Washington, DC: Ronald Reagan Washington National",12,2003,329,367,485,41,245,5158,6630,15926,20075,15053,53993,2780
DEN,"Denver, CO: Denver International",12,2003,969,516,629,102,110,10319,12659,41114,30323,19967,98240,6477
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12,2003,1046,1218,1975,221,370,24484,29369,67349,62542,68126,213893,14932
DTW,"Detroit, MI: Detroit Metro Wayne County",12,2003,503,510,996,66,226,9396,11714,27304,23990,28790,83818,3457
EWR,"Newark, NJ: Newark Liberty International",12,2003,455,736,2538,125,843,8233,12975,27159,48602,150067,238374,12078
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",12,2003,337,341,560,27,57,4050,5394,15609,20525,25693,64746,2457
IAD,"Washington, DC: Washington Dulles International",12,2003,393,481,595,47,269,6789,8587,20151,31153,26022,82010,4632
IAH,"Houston, TX: George Bush Intercontinental/Houston",12,2003,523,718,1483,66,90,13841,16812,30899,38071,47604,123568,6109
JFK,"New York, NY: John F. Kennedy International",12,2003,387,401,587,33,230,4836,6501,22344,25992,26441,78139,2983
LAS,"Las Vegas, NV: McCarran International",12,2003,646,1001,863,85,104,9709,12433,29901,49205,33993,120231,6624
LAX,"Los Angeles, CA: Los Angeles International",12,2003,1223,1065,1145,164,283,15533,19452,58720,54450,38180,163684,11557
LGA,"New York, NY: LaGuardia",12,2003,381,599,1696,89,689,5548,9061,24430,40488,91835,164964,8111
MCO,"Orlando, FL: Orlando International",12,2003,463,516,577,47,80,6426,8130,21291,31277,22914,79580,3665
