Airport.Code,Airport.Name,Time.Month,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
IAH,"Houston, TX: George Bush Intercontinental/Houston",2,2006,570,1023,2012,103,169,12352,16351,36460,52361,71485,172363,9302
JFK,"New York, NY: John F. Kennedy International",2,2006,438,808,556,58,334,5272,7494,24574,50940,22493,109963,11676
LAS,"Las Vegas, NV: McCarran International",2,2006,760,1318,1462,64,94,9838,13584,38347,70983,55425,169724,4739
LAX,"Los Angeles, CA: Los Angeles International",2,2006,1158,1232,1543,101,283,13007,17374,54842,68187,60174,190425,6755
LGA,"New York, NY: LaGuardia",2,2006,361,567,1827,145,640,6365,9921,22483,39261,88547,159104,8738
MCO,"Orlando, FL: Orlando International",2,2006,520,651,639,70,121,7347,9373,28179,38041,21370,92323,4546
MDW,"Chicago, IL: Chicago Midway International",2,2006,353,625,462,56,121,5834,7482,15772,35127,16776,71379,3579
MIA,"Miami, FL: Miami International",2,2006,296,302,516,59,93,4139,5412,17324,19030,17957,58401,3971
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2,2006,587,485,627,85,123,7244,9173,36359,26445,18497,86435,4826
ORD,"Chicago, IL: Chicago O'Hare International",2,2006,1239,1744,3396,158,822,20739,28150,77144,121135,189556,398509,10168
PDX,"Portland, OR: Portland International",2,2006,303,415,318,18,32,2966,4063,14552,21488,9274,46277,821
PHL,"Philadelphia, PA: Philadelphia International",2,2006,438,554,748,71,297,6412,8546,21045,34003,29101,90389,6185
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2,2006,819,1124,1199,64,178,12887,16324,41896,56959,42822,147348,4972
SAN,"San Diego, CA: San Diego International",2,2006,520,584,558,72,95,5053,6962,22801,30032,22548,80502,4974
SEA,"Seattle, WA: Seattle/Tacoma International",2,2006,578,671,886,40,75,5232,7511,29870,39433,28403,100350,2219
SFO,"San Francisco, CA: San Francisco International",2,2006,757,645,1573,66,231,6427,9742,38482,40924,77323,161355,4435
SLC,"Salt Lake City, UT: Salt Lake City International",2,2006,789,626,675,96,92,8070,10375,35886,31434,21827,94857,5123
TPA,"Tampa, FL: Tampa International",2,2006,379,477,445,46,88,4514,6002,19547,30384,22774,77699,4878
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3,2006,1516,1596,4458,286,333,26769,34988,92476,82823,194182,386308,15803
BOS,"Boston, MA: Logan International",3,2006,578,640,807,57,126,8970,11190,28691,36964,25306,94658,3561
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",3,2006,427,669,281,31,33,7440,8900,19258,33721,9804,66178,3068
CLT,"Charlotte, NC: Charlotte Douglas International",3,2006,503,545,517,62,82,8237,9952,21814,28368,15412,70119,4335
DCA,"Washington, DC: Ronald Reagan Washington National",3,2006,424,453,471,43,127,6906,8434,19888,25951,14869,63661,2604
DEN,"Denver, CO: Denver International",3,2006,1331,1743,1369,172,281,14278,19193,64958,112207,47796,238803,13720
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3,2006,914,1980,1912,244,397,19571,25106,64348,133860,82502,298891,17879
DTW,"Detroit, MI: Detroit Metro Wayne County",3,2006,573,580,571,88,125,8808,10770,37488,34196,20345,98124,5751
EWR,"Newark, NJ: Newark Liberty International",3,2006,433,1063,3153,111,296,8899,13992,25249,69908,188408,291108,6966
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",3,2006,323,396,291,25,13,5535,6597,15286,23064,10306,50216,1360
IAD,"Washington, DC: Washington Dulles International",3,2006,439,566,310,31,121,6777,8256,24028,38109,15173,79756,2199
IAH,"Houston, TX: George Bush Intercontinental/Houston",3,2006,696,1765,2383,75,99,14307,19401,42243,100949,80898,230085,5420
JFK,"New York, NY: John F. Kennedy International",3,2006,492,574,796,38,60,6671,8658,24045,28677,25335,81205,2835
LAS,"Las Vegas, NV: McCarran International",3,2006,937,1601,1517,103,123,11399,15712,44358,78174,51790,180551,5825
LAX,"Los Angeles, CA: Los Angeles International",3,2006,1534,1532,1738,79,269,14431,19610,73721,82628,55103,217320,5380
LGA,"New York, NY: LaGuardia",3,2006,483,630,1852,121,303,7766,11182,28421,42919,96176,175499,7400
MCO,"Orlando, FL: Orlando International",3,2006,517,667,395,35,15,9114,10765,23751,35642,14129,76825,2775
MDW,"Chicago, IL: Chicago Midway International",3,2006,357,657,418,63,69,6890,8506,16287,34009,17002,72092,4606
MIA,"Miami, FL: Miami International",3,2006,306,334,334,36,14,5041,6088,15575,18531,12290,48995,2246
MSP,"Minneapolis, MN: Minneapolis-St Paul International",3,2006,563,629,693,152,134,8419,10678,41167,40798,27113,125825,16247
ORD,"Chicago, IL: Chicago O'Hare International",3,2006,1419,2471,5514,197,1068,20904,31685,91823,186028,402761,696455,15529
PDX,"Portland, OR: Portland International",3,2006,344,479,240,21,26,3398,4514,15660,26700,8516,52485,1496
PHL,"Philadelphia, PA: Philadelphia International",3,2006,465,513,867,69,89,7594,9608,24224,30626,35536,95461,4948
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",3,2006,1023,1445,1389,79,160,14372,18507,48479,72798,46360,174444,6158
SAN,"San Diego, CA: San Diego International",3,2006,637,654,571,25,70,5909,7882,27051,33396,18145,80736,1789
SEA,"Seattle, WA: Seattle/Tacoma International",3,2006,533,804,552,41,61,6419,8423,27947,49761,17249,98251,3139
SFO,"San Francisco, CA: San Francisco International",3,2006,932,964,2150,55,251,6591,10964,44277,70775,120625,240083,3833
SLC,"Salt Lake City, UT: Salt Lake City International",3,2006,911,912,610,180,116,9230,11997,40020,54490,20913,130539,14383
TPA,"Tampa, FL: Tampa International",3,2006,374,488,230,30,12,5758,6906,17509,24960,8577,53477,2127
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",4,2006,1536,1434,3775,317,470,25606,33251,99162,84534,172490,381112,19977
BOS,"Boston, MA: Logan International",4,2006,543,627,1157,60,136,8415,10951,26835,39605,45700,116216,3831
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4,2006,383,673,305,54,40,7208,8681,17092,36580,13304,72579,5462
CLT,"Charlotte, NC: Charlotte Douglas International",4,2006,506,620,678,53,134,7560,9584,24238,33378,21682,82564,3060
DCA,"Washington, DC: Ronald Reagan Washington National",4,2006,387,388,512,41,82,6351,7774,18308,21500,20619,63407,2787
DEN,"Denver, CO: Denver International",4,2006,917,992,773,49,184,15374,18308,47335,54348,24260,129465,2937
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4,2006,947,2144,1669,174,315,19435,24723,63178,122487,65813,264670,13045
DTW,"Detroit, MI: Detroit Metro Wayne County",4,2006,508,505,533,62,79,8622,10315,32682,26659,15850,79348,4035
EWR,"Newark, NJ: Newark Liberty International",4,2006,429,1076,2691,92,232,8769,13335,28764,70448,157010,262342,5707
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",4,2006,276,362,302,32,9,5224,6214,13225,19983,10594,45531,1610
IAD,"Washington, DC: Washington Dulles International",4,2006,371,650,335,34,145,6393,7963,17816,43751,13154,76429,1688
IAH,"Houston, TX: George Bush Intercontinental/Houston",4,2006,564,1310,1710,71,134,14377,18268,38423,79150,69572,194706,7322
JFK,"New York, NY: John F. Kennedy International",4,2006,421,551,861,32,30,6705,8629,21873,26728,26720,77425,1720
LAS,"Las Vegas, NV: McCarran International",4,2006,867,1432,1155,51,78,11632,15238,41241,69281,36092,150178,3315
LAX,"Los Angeles, CA: Los Angeles International",4,2006,1323,1389,1439,62,171,14464,18871,61752,73561,45205,184779,3839
LGA,"New York, NY: LaGuardia",4,2006,478,632,1570,115,177,7403,10405,25894,39980,75194,148139,6979
MCO,"Orlando, FL: Orlando International",4,2006,502,669,493,48,16,8759,10501,24040,39227,17474,83337,2468
MDW,"Chicago, IL: Chicago Midway International",4,2006,356,724,526,82,51,6327,8157,14697,38977,22421,82649,6227
MIA,"Miami, FL: Miami International",4,2006,340,305,339,31,20,4716,5756,18993,17255,11559,50373,2472
MSP,"Minneapolis, MN: Minneapolis-St Paul International",4,2006,507,451,503,77,74,8560,10227,41662,25275,19469,92167,5537
ORD,"Chicago, IL: Chicago O'Hare International",4,2006,1248,2252,3978,157,769,22206,30698,82190,149278,266814,510107,11741
PDX,"Portland, OR: Portland International",4,2006,303,365,136,15,13,3797,4635,15119,19292,4438,40830,1728
PHL,"Philadelphia, PA: Philadelphia International",4,2006,437,641,1222,81,90,6714,9202,21849,39059,61008,128175,6056
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4,2006,930,1239,1074,49,144,14121,17586,45015,59924,30026,139034,3689
SAN,"San Diego, CA: San Diego International",4,2006,564,614,457,25,50,5745,7468,23750,29410,14267,69846,2278
SEA,"Seattle, WA: Seattle/Tacoma International",4,2006,486,707,441,19,44,6814,8524,22996,43106,13775,81548,1285
SFO,"San Francisco, CA: San Francisco International",4,2006,764,771,1818,54,213,7195,10824,39953,45559,97933,186825,2943
SLC,"Salt Lake City, UT: Salt Lake City International",4,2006,560,543,311,67,68,9844,11402,27703,27146,10156,69039,3735
TPA,"Tampa, FL: Tampa International",4,2006,325,473,272,27,10,5452,6565,15452,25562,9695,52483,1674
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5,2006,1561,1638,3988,341,311,26414,34291,96728,91200,169093,375984,18692
BOS,"Boston, MA: Logan International",5,2006,521,743,2301,132,210,6994,10924,31440,55489,133335,230270,9973
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5,2006,453,834,369,61,51,7237,9024,20297,44404,14436,82864,3618
CLT,"Charlotte, NC: Charlotte Douglas International",5,2006,597,596,638,49,108,7763,9780,28686,37022,22435,91838,3625
DCA,"Washington, DC: Ronald Reagan Washington National",5,2006,438,526,540,79,131,6343,8073,22428,32079,20877,80596,5193
DEN,"Denver, CO: Denver International",5,2006,938,1157,955,56,151,16635,19932,50562,69283,29422,153881,4280
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5,2006,980,2537,1476,173,305,20235,25722,65158,129974,48029,253313,10043
DTW,"Detroit, MI: Detroit Metro Wayne County",5,2006,539,551,701,151,89,8589,10632,34233,32271,25904,102391,9929
EWR,"Newark, NJ: Newark Liberty International",5,2006,432,1014,2738,114,211,8844,13405,26305,69148,149818,252773,7294
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",5,2006,294,373,375,36,8,4386,5500,12835,21896,13703,50466,1939
IAD,"Washington, DC: Washington Dulles International",5,2006,426,710,361,27,114,6433,8085,23489,46136,13124,85115,2287
IAH,"Houston, TX: George Bush Intercontinental/Houston",5,2006,610,1461,1949,139,244,14502,19070,42592,90749,96660,245267,14934
JFK,"New York, NY: John F. Kennedy International",5,2006,401,469,784,67,58,6648,8475,22891,28201,26450,82431,4674
LAS,"Las Vegas, NV: McCarran International",5,2006,683,1225,967,72,89,12753,15802,33799,64276,38441,141481,4654
LAX,"Los Angeles, CA: Los Angeles International",5,2006,1202,1256,981,84,199,16016,19767,60637,68043,31287,165426,5125
LGA,"New York, NY: LaGuardia",5,2006,449,639,2165,201,253,7041,10823,26258,40958,104833,183751,11652
MCO,"Orlando, FL: Orlando International",5,2006,485,686,545,50,26,8330,10149,25457,37502,18666,84888,3124
MDW,"Chicago, IL: Chicago Midway International",5,2006,411,777,574,112,56,6523,8500,19061,41795,26541,96568,8902
MIA,"Miami, FL: Miami International",5,2006,331,327,453,37,51,4460,5694,20989,20886,17366,61671,2393
MSP,"Minneapolis, MN: Minneapolis-St Paul International",5,2006,491,428,448,95,60,9041,10589,31101,25808,15261,77901,5635
ORD,"Chicago, IL: Chicago O'Hare International",5,2006,1390,2507,4881,211,1202,21655,31976,95276,186237,383262,684128,19263
PDX,"Portland, OR: Portland International",5,2006,285,349,188,16,21,4017,4881,12245,20669,6241,40195,962
PHL,"Philadelphia, PA: Philadelphia International",5,2006,464,643,1117,88,63,6876,9275,20728,37460,41899,104926,4755
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5,2006,848,950,619,48,160,15490,18134,41554,47667,19242,111682,2950
SAN,"San Diego, CA: San Diego International",5,2006,469,532,308,34,53,6491,7896,19743,25525,10378,57310,1490
SEA,"Seattle, WA: Seattle/Tacoma International",5,2006,534,605,520,39,48,7558,9320,25399,35363,16176,80026,2943
SFO,"San Francisco, CA: San Francisco International",5,2006,772,775,758,34,147,8605,11105,37492,45027,28625,113322,2025
SLC,"Salt Lake City, UT: Salt Lake City International",5,2006,481,402,239,36,87,10528,11783,24063,20179,7039,53456,2032
TPA,"Tampa, FL: Tampa International",5,2006,335,479,339,33,11,4943,6145,16059,25019,11292,54287,1851
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",6,2006,2464,2276,3086,638,693,24447,33787,166260,160781,184943,559269,46773
BOS,"Boston, MA: Logan International",6,2006,688,962,2125,186,367,6397,10746,45008,81143,134710,277805,16813
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",6,2006,596,1072,727,178,92,6371,9086,30239,74813,42323,163396,15775
CLT,"Charlotte, NC: Charlotte Douglas International",6,2006,876,815,764,103,229,6550,9366,48315,57667,33320,148696,9394
DCA,"Washington, DC: Ronald Reagan Washington National",6,2006,498,558,907,118,271,5375,7794,27351,39973,48006,127649,12234
DEN,"Denver, CO: Denver International",6,2006,1301,1489,1171,109,263,15675,20096,69938,97045,46100,222066,8522
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",6,2006,1144,2349,1279,152,322,19946,25221,78200,130597,53267,273281,10912
DTW,"Detroit, MI: Detroit Metro Wayne County",6,2006,682,650,888,220,186,7726,10396,50674,42768,43206,162588,25567
EWR,"Newark, NJ: Newark Liberty International",6,2006,589,1260,2922,139,610,7633,13308,44022,104578,238962,401562,13393
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",6,2006,396,529,404,50,21,3834,5243,20792,35762,17631,77820,3534
IAD,"Washington, DC: Washington Dulles International",6,2006,623,903,604,54,364,5246,7838,46052,91872,33278,176243,4900
IAH,"Houston, TX: George Bush Intercontinental/Houston",6,2006,990,1760,1754,103,319,14248,19405,74230,128634,86227,298947,9466
JFK,"New York, NY: John F. Kennedy International",6,2006,560,776,1381,135,123,5708,8742,34696,56529,72833,175565,11337
LAS,"Las Vegas, NV: McCarran International",6,2006,924,1697,932,73,111,11752,15513,46318,94713,36178,183189,5742
LAX,"Los Angeles, CA: Los Angeles International",6,2006,1358,1537,1006,121,215,15438,19703,67098,92614,39236,207614,8413
LGA,"New York, NY: LaGuardia",6,2006,575,838,2323,210,532,6154,10712,36242,64555,147994,264933,16116
MCO,"Orlando, FL: Orlando International",6,2006,711,927,780,93,34,7220,9776,37845,62799,30796,138432,6796
MDW,"Chicago, IL: Chicago Midway International",6,2006,585,1054,555,108,70,6111,8526,29194,69035,25201,132569,8888
MIA,"Miami, FL: Miami International",6,2006,425,456,543,68,64,3872,5453,27289,34772,23972,91456,5328
MSP,"Minneapolis, MN: Minneapolis-St Paul International",6,2006,693,554,568,162,86,8824,10910,45909,36572,22658,118416,13063
ORD,"Chicago, IL: Chicago O'Hare International",6,2006,1748,3219,2927,216,773,22330,31286,116084,229989,165308,530444,18670
PDX,"Portland, OR: Portland International",6,2006,387,533,263,27,25,3792,5037,18782,29700,9485,59906,1806
PHL,"Philadelphia, PA: Philadelphia International",6,2006,636,749,1419,165,117,5637,8768,34933,56324,79381,184640,13974
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",6,2006,1275,1250,965,121,218,13972,17869,68835,65781,36597,180278,8606
SAN,"San Diego, CA: San Diego International",6,2006,573,656,374,41,74,6129,7893,25027,33365,13567,75457,3166
SEA,"Seattle, WA: Seattle/Tacoma International",6,2006,681,981,830,65,54,7109,9736,33687,55662,28100,123064,5329
SFO,"San Francisco, CA: San Francisco International",6,2006,961,1011,1062,64,147,7869,11128,47748,61951,46523,162368,5572
SLC,"Salt Lake City, UT: Salt Lake City International",6,2006,744,683,412,78,105,10116,12155,35395,34642,13705,89041,5002
TPA,"Tampa, FL: Tampa International",6,2006,451,670,408,50,15,4332,5951,23783,47254,17346,92364,3881
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",7,2006,2910,2622,2757,539,682,25838,35419,180568,153962,117474,485791,33402
BOS,"Boston, MA: Logan International",7,2006,684,873,1402,202,328,7654,11172,43137,69570,89740,221679,19095
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",7,2006,536,959,698,118,89,6943,9369,27547,64057,34138,135607,9748
CLT,"Charlotte, NC: Charlotte Douglas International",7,2006,847,777,766,97,161,7063,9729,43268,55574,31067,137439,7479
DCA,"Washington, DC: Ronald Reagan Washington National",7,2006,494,506,891,138,262,5473,7797,26649,34896,39350,112334,11372
DEN,"Denver, CO: Denver International",7,2006,1344,1617,1070,120,231,16532,20934,78197,113705,42388,243299,8864
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",7,2006,1165,1880,1217,201,463,20883,25929,77033,116049,54309,262791,15145
DTW,"Detroit, MI: Detroit Metro Wayne County",7,2006,757,659,866,115,139,8466,11019,55509,42772,32440,139529,8660
EWR,"Newark, NJ: Newark Liberty International",7,2006,549,1340,2779,118,572,8039,13619,39938,115792,237268,404204,10596
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",7,2006,369,518,395,57,31,3985,5373,19950,36175,17246,78222,4787
IAD,"Washington, DC: Washington Dulles International",7,2006,690,957,577,64,286,5426,8018,47504,85806,27743,167129,5981
IAH,"Houston, TX: George Bush Intercontinental/Houston",7,2006,870,1877,2068,160,229,14544,19920,64045,123798,99842,301822,13782
JFK,"New York, NY: John F. Kennedy International",7,2006,632,946,1511,157,185,6095,9678,42176,78490,86964,222487,14571
LAS,"Las Vegas, NV: McCarran International",7,2006,1018,1663,980,116,144,11975,15947,53607,99876,45111,208360,9371
LAX,"Los Angeles, CA: Los Angeles International",7,2006,1426,1601,1149,140,257,15854,20488,72125,102060,53679,237958,9614
LGA,"New York, NY: LaGuardia",7,2006,629,762,1963,184,632,6445,10752,39678,58861,133444,246632,14624
MCO,"Orlando, FL: Orlando International",7,2006,663,954,702,80,45,7708,10181,37673,70868,30118,145061,6346
MDW,"Chicago, IL: Chicago Midway International",7,2006,529,960,540,115,76,6578,8824,25699,63810,35442,139307,14301
MIA,"Miami, FL: Miami International",7,2006,450,476,580,91,57,3955,5620,29207,34493,24021,94421,6636
MSP,"Minneapolis, MN: Minneapolis-St Paul International",7,2006,702,639,558,136,73,9083,11228,48022,39487,22051,122408,12589
